,phones names
0,
1,"POCO C31 (Royal Blue, 64 GB)"
2,
3,"Infinix HOT 12 Play (Daylight Green, 64 GB)"
4,
5,"REDMI Note 10T 5G (Metallic Blue, 64 GB)"
6,
7,KARBONN K9 SHAKTI
8,
9,"realme C35 (Glowing Green, 64 GB)"
10,
11,"realme C20 (Cool Grey, 32 GB)"
12,
13,"realme C20 (Cool Blue, 32 GB)"
14,
15,KARBONN K9
16,
17,"realme C35 (Glowing Black, 64 GB)"
18,
19,"realme 9i (Prism Blue, 64 GB)"
20,
21,"realme 9i (Prism Blue, 128 GB)"
22,
23,KARBONN K107S
24,
25,"realme 9i (Prism Black, 64 GB)"
26,
27,"POCO M4 Pro 5G (Power Black, 64 GB)"
28,
29,"realme Narzo 30 5G (Racing Silver, 128 GB)"
30,
31,KARBONN K109 Star
32,
33,"realme Narzo 30 5G (Racing Blue, 128 GB)"
34,
35,"realme Narzo 50A (Oxygen Green, 128 GB)"
36,
37,"realme Narzo 50A (Oxygen Green, 64 GB)"
38,
39,KARBONN K31 Star
40,
41,"realme Narzo 50A (Oxygen Blue, 64 GB)"
42,
43,"POCO M4 Pro 5G (Cool Blue, 64 GB)"
44,
45,"Infinix HOT 12 Play (Horizon Blue, 64 GB)"
46,
47,KARBONN K108i
